"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","0","14","0","3"
"","Product catalogue","Validate product list structure","0","0","1","0","0"
"","Invoice management","List invoices first page","0","0","1","0","0"
"","Cart management","Create a new cart","1","0","0","0","0"
"","User account flows","Successful login returns an access token","1","0","2","0","0"
"","Product catalogue","List products with default parameters","0","0","1","0","0"
"","Cart management","Delete cart by id","0","0","1","0","0"
"","Cart management","Retrieve cart by id","0","0","1","0","0"
"","Product catalogue","Get product details by id","0","0","1","0","0"
"","Cart management","Update quantity of an item in the cart","0","0","1","0","0"
"","Cart management","Remove product from cart","0","0","1","0","0"
"","User account flows","Successful registration creates a user","0","0","1","0","0"
"","Cart management","Add product to cart","0","0","1","0","0"
