"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 05 06:42:32 UTC 2026","Sat Sep 05 06:42:34 UTC 2026","2558","","Cart management","","Remove product from cart","","Remove product from cart","  As a shopper
  I want to manage items in my cart
  So that I can complete purchases"
"unknown","Sat Sep 05 06:42:21 UTC 2026","Sat Sep 05 06:42:21 UTC 2026","0","Gradle suite","Gradle test","tests.InvoiceTests","tests.InvoiceTests","create_invoice_returns_201_or_200","create_invoice_returns_201_or_200",""
"passed","Sat Sep 05 06:42:29 UTC 2026","Sat Sep 05 06:42:32 UTC 2026","2651","","Cart management","","Update quantity of an item in the cart","","Update quantity of an item in the cart","  As a shopper
  I want to manage items in my cart
  So that I can complete purchases"
"failed","Sat Sep 05 06:42:39 UTC 2026","Sat Sep 05 06:42:39 UTC 2026","596","","User account flows","","Successful login returns an access token","","Successful login returns an access token",""
"unknown","Sat Sep 05 06:42:21 UTC 2026","Sat Sep 05 06:42:21 UTC 2026","1","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","create_product_returns_201_or_200","create_product_returns_201_or_200",""
"failed","Sat Sep 05 06:42:41 UTC 2026","Sat Sep 05 06:42:42 UTC 2026","1060","Gradle suite","Gradle test","tests.BrandTests","tests.BrandTests","delete_brand_by_id_returns_204","delete_brand_by_id_returns_204",""
"passed","Sat Sep 05 06:42:57 UTC 2026","Sat Sep 05 06:42:57 UTC 2026","561","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","list_products_ok_default","list_products_ok_default",""
"failed","Sat Sep 05 06:42:22 UTC 2026","Sat Sep 05 06:42:25 UTC 2026","3463","","Cart management","","Create a new cart","","Create a new cart","  As a shopper
  I want to manage items in my cart
  So that I can complete purchases"
"passed","Sat Sep 05 06:42:27 UTC 2026","Sat Sep 05 06:42:28 UTC 2026","1005","","Cart management","","Retrieve cart by id","","Retrieve cart by id","  As a shopper
  I want to manage items in my cart
  So that I can complete purchases"
"passed","Sat Sep 05 06:42:36 UTC 2026","Sat Sep 05 06:42:37 UTC 2026","576","","Product catalogue","","Validate product list structure","","Validate product list structure","  As a store visitor
  I want to browse the product catalogue
  So that I can discover items to purchase"
"passed","Sat Sep 05 06:42:28 UTC 2026","Sat Sep 05 06:42:29 UTC 2026","1056","","Cart management","","Delete cart by id","","Delete cart by id","  As a shopper
  I want to manage items in my cart
  So that I can complete purchases"
"passed","Sat Sep 05 06:42:58 UTC 2026","Sat Sep 05 06:42:59 UTC 2026","734","Gradle suite","Gradle test","tests.UserTests","tests.UserTests","register_creates_user","register_creates_user",""
"passed","Sat Sep 05 06:42:39 UTC 2026","Sat Sep 05 06:42:40 UTC 2026","587","","User account flows","","Successful login returns an access token","","Successful login returns an access token",""
"passed","Sat Sep 05 06:42:52 UTC 2026","Sat Sep 05 06:42:55 UTC 2026","3205","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","update_quantity_of_item_updates_cart","update_quantity_of_item_updates_cart",""
"passed","Sat Sep 05 06:42:40 UTC 2026","Sat Sep 05 06:42:41 UTC 2026","758","","User account flows","","Successful registration creates a user","","Successful registration creates a user",""
